计数,内容
1,"《送贾讷倅眉》
老翁山下玉渊回，手植青松三万栽"
1,"《送欧阳主簿赴官韦城四首·其一》
读遍牙签三万轴，却来小邑试牛刀"
1,"《孙莘老求墨妙亭诗》
短长肥瘠各有态，玉环飞燕谁敢憎"
1,"《太白词五首》
百川溢，施沟渠，歌且舞兮"
1,"《天际乌云帖》
故知杭人多惠也"
1,"《望江南·暮春》
春已老，春服几时成"
1,"《喜雨亭记》
使天而雨珠，寒者不得以为襦"
1,"《谢量移汝州表》
只影自怜，命寄江湖之上；惊魂未定，梦游缧绁之中"
1,"《刑赏忠厚之至论》
将杀人，皋陶曰“杀之”三，尧曰“宥之”三"
1,"《叶嘉传》
赞曰：今叶氏散居天下。皆不喜城邑，惟乐山居"
1,"《颍州初别子由二首·其二》
人生无离别，谁知恩爱重"
1,"《余来儋耳，得吠狗曰乌觜，甚猛……》
?乌喙本海獒，幸我为之主"
1,"《与子由弟书》
?惠州市井寥落，然犹日杀一羊，不敢与仕者争买"
1,"《狱中寄子由二首·其二》
梦绕云山心似鹿，魂飞汤火命如鸡"
1,"《赠岭上老人》
问翁大庾岭上住，曾见南迁几个回?"
1,"《真一酒》
米、麦、水，三一而已，此东坡先生真一酒也"
1,"《煮鱼法》
入盐于堂法，以菘菜笔之，仍入浑"
1,"《子由生日》
但愿白发兄，年年作生日"
1,"《纵笔三首·其一》
寂寂东坡一病翁，白须萧散满霜风"
1,"《悼朝云》
伤心一念偿前债，弹指三生断后缘"
1,"《减字木兰花·郑庄好客》
从此南徐，良夜清风月满湖"
1,"《李思训画长江绝岛图》
山苍苍，水茫茫，大孤小孤江中央"
1,"《王朝云墓志铭》
浮屠是瞻，伽蓝是依。如汝宿心，惟佛之归"
1,"《王复秀才所居双桧二首·其二》
根到九泉无曲处，世间惟有蛰龙知"
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
